dataset,source,date,resolution,crs,processing,notes
dem_melamchi,NASADEM_HGT (NASA Earthdata / LP DAAC),2026-09-18,~30m (1 arc-second),EPSG:4326,"Downloaded 2 granule(s) via earthaccess, mosaicked with rasterio.merge","bbox used: (85.45, 27.75, 85.75, 28.05)"
dem_melamchi,NASADEM_HGT (NASA Earthdata / LP DAAC),2026-09-18,~30m (1 arc-second),EPSG:4326,"Downloaded 2 granule(s) via earthaccess, mosaicked with rasterio.merge","bbox used: (85.45, 27.75, 85.75, 28.05)"
melamchi_watershed_boundary,"Delineated from DEM (C:\Users\drmad\Downloads\TerraSentinel-Nepal\data\raw\dem\melamchi_dem_30m.tif), outlet (27.8283, 85.5495)",2026-09-18,N/A (vector boundary),EPSG:4326,Delineated/loaded and reprojected to EPSG:4326; saved as GeoPackage,Target area from 2023 Melamchi flood study: 957.72 km2
melamchi_watershed_boundary,"Delineated from DEM (C:\Users\drmad\Downloads\TerraSentinel-Nepal\data\raw\dem\melamchi_dem_30m.tif), outlet (27.8283, 85.5495)",2026-09-19,N/A (vector boundary),EPSG:4326,Delineated/loaded and reprojected to EPSG:4326; saved as GeoPackage,Target area from 2023 Melamchi flood study: 957.72 km2
melamchi_watershed_boundary,"Published boundary (Nepal-FRES, HydroShare): C:\Users\drmad\Downloads\TerraSentinel-Nepal\data\raw\boundary\source_watershed.kml",2026-09-19,N/A (vector boundary),EPSG:4326,Delineated/loaded and reprojected to EPSG:4326; saved as GeoPackage,Target area from 2023 Melamchi flood study: 957.72 km2
grid_cells,Derived from melamchi_watershed.gpkg,2026-09-19,100m x 100m,"EPSG:32645 (cell geometry), EPSG:4326 (centroid lat/lon)","Regular 100m grid generated over watershed bounding box, kept cells whose centroid falls inside the watershed polygon",32435 cells; cell_id is the join key for every other dataset
terrain_features,Derived from melamchi_dem_30m.tif,2026-09-19,"~30m DEM, sampled to grid cell centroids",EPSG:4326,"richdem: FillDepressions, TerrainAttribute(slope/aspect/curvature), FlowAccumulation(D8); river network = flow_acc >= 1000; distance_to_river = Euclidean distance transform to nearest river cell; river_gradient = slope value at nearest river cell (proxy, not true channel gradient)","River network is a flow-accumulation proxy, not a mapped river layer — cross-check distance_to_river against satellite imagery before trusting it. 96237 river cells identified."
rainfall_missing_granules,,2026-09-19,,,SKIPPED,"Not included in feature table — 8 IMERG granule(s) unavailable, e.g. 3B-HHR-L.MS.MRG.3IMERG.20260801-S013000-E015959.0090.V07C.HDF5. Windows that need them are set to NaN."
rainfall_RASUWA_2026_2026-09-26,,2026-09-19,,,SKIPPED,Not included in feature table — No complete 336-granule IMERG window (Final or Late) ending 2026-09-26; data likely not yet released.
rainfall_gpm_imerg,"NASA GPM IMERG Half-Hourly v07 (GES DISC / Earthdata); Final run preferred, Late run fallback",2026-09-19,"~0.1 deg (~10km) native, sampled to grid via nearest-neighbor",EPSG:4326,"Downloaded half-hourly Grid/precipitation granules per observation date, fill values treated as missing, summed over [obs - X h, obs) into rainfall_1h..rainfall_7day (NaN if any granule in the window is missing), nearest-neighbor sampled onto the project grid","IMERG run used per observation date: {'MELAMCHI_2021@2021-06-10': 'Final', 'MELAMCHI_2021@2021-07-15': 'Final', 'MELAMCHI_2026@2026-07-01': 'Late', 'MELAMCHI_2026@2026-08-02': 'Late', 'RASUWA_2026@2026-08-25': 'Late'}"
rainfall_RASUWA_2026_2026-09-26,,2026-09-19,,,SKIPPED,Not included in feature table — No complete 336-granule IMERG window (Final or Late) ending 2026-09-26; data likely not yet released.
rainfall_gpm_imerg,"NASA GPM IMERG Half-Hourly v07 (GES DISC / Earthdata); Final run preferred, Late run fallback",2026-09-19,"~0.1 deg (~10km) native, sampled to grid via nearest-neighbor",EPSG:4326,"Downloaded half-hourly Grid/precipitation granules per observation date, fill values treated as missing, summed over [obs - X h, obs) into rainfall_1h..rainfall_7day (NaN if any granule in the window is missing), nearest-neighbor sampled onto the project grid","IMERG run used per observation date: {'MELAMCHI_2021@2021-06-10': 'Final', 'MELAMCHI_2021@2021-07-15': 'Final', 'MELAMCHI_2026@2026-07-01': 'Late', 'MELAMCHI_2026@2026-08-02': 'Late', 'RASUWA_2026@2026-08-25': 'Late'}"
